LISTADO DE LIBROS DE LA BIBLIOTECA DE LA FACULTAD DE CIENCIAS ECONOMICAS		
Autor	Titulo de libro	Cant Ejemplar
Ossorio, Manuel	Diccionario de ciencias jurídicas políticas y sociales.	1
Seldon, Arthur	Diccionario de economía :	1
Cosentini, Adela Josefina	Microeconomía.	6
Biondi, Mario (H.)	Contabilidad financiera.	1
Carciofi, Ricardo	Salarios y política económica.	1
Bercovich, Néstor	Biotecnología y economía política :	1
Tabera, Ariadna	El lugar de enunciación de la mujer política.	1
Fowler Newton, Enrique	Diccionario de contabilidad y auditoría.	3
Halperin, Isaac	Sociedades anónimas.	1
Rouillon, Adolfo A. N	Régimen de concursos y quiebras :	1
Zunino, Jorge Osvaldo	Régimen de sociedades comerciales :	1
Aramouni, Alberto	Práctica del derecho societario :	1
Aramouni, Alberto	Práctica del derecho societario :	1
Galindez, Oscar A.	Verificación de créditos :	1
Escuti, Ignacio A.	Títulos de crédito :	1
Diez, Gustavo E.	Impuesto a las ganancias.	2
Nissen, Ricardo Augusto	Curso de derecho societario.	1
Montesi, Víctor Luis	Extensión de quiebra.	1
Villegas, Héctor Belisario	Curso de finanzas, derecho financiero y tributario.	5
Giuliani Fonrouge, Carlos M	Derecho financiero.	10
Giuliani Fonrouge, Carlos M	Derecho financiero.	10
	Tres ensayos sobre inflación y políticas de estabilización.	1
Molina Sandoval, Carlos A	Régimen societario :	1
Molina Sandoval, Carlos A	Régimen societario :	1
Orozco, Néstor R	Administración y liquidación de sueldos y jornales :	1
Falcon, Enrique M.	Manual de derecho procesal :	1
Falcon, Enrique M.	Manual de derecho procesal :	1
Leguisamón, Héctor Eduardo	Lecciones de derecho procesal civil.	1
Arazi, Roland	Derecho procesal civil y comercial.	1
Arazi, Roland	Derecho procesal civil y comercial.	1
Gozaini, Osvaldo A	Elementos de derecho procesal civil.	1
Palacio, Lino Enrique	Manual de derecho procesal civil.	1
Grisolia, Julio Armando	Manual de derecho laboral.	2
Blake, Oscar Juan	La capacitación :	1
Senge, Peter M	La quinta disciplina :	1
Kofman, Fredy	Metamanagement :	4
Kofman, Fredy	Metamanagement :	4
Kofman, Fredy	Metamanagement :	4
Nieto, Oscar	Práctica societaria 2005 :	1
Grenabuena, Silvia R	Liquidación de los impuestos a las ganancias, sobre los bienes personales y a la ganancia mínima presunta.	1
Puig, Xavier	Comprender los mercados de futuros.	1
Brealey, Richard A.	Fundamentos de finanzas corporativas.	1
Santesmases Mestre, Miguel	Marketing :	2
Alen Lascano, Luis C.	La Argentina ilusionada :	1
Anaya, Jaime L	Sociedades accidentales o en participación.	2
Anda, Enrique	Dependencias y estructura de clases en América Latina.	1
	ABC del exportador.	1
Houel, J.	Tablas de logaritmos a cinco decimales.	1
Miguel Y Merino, Pablo	Curso de cálculo integral.	2
Antokoletz, Daniel	Derecho del trabajo y previsión social :	3
Ayape Amigot, Fernando	Intifada en Palestina :	2
Ayape Amigot, Fernando	La Liga de los Estados Arabes.	2
Giuliani Fonrouge, Carlos M	Derecho financiero.	1
Bidart, Jorge Adolfo	El presupuesto en la empresa :	16
Biondi, Mario	Fundamentos de contabilidad.	14
Biondi, Mario	Manual de contabilidad :	5
Borga, Ernesto E.	Direcciones contemporáneas del pensamiento económico.	1
Borga, Ernesto E.	Direcciones contemporáneas del pensamiento económico.	1
Braun Wilke, Rolando	Plantas de interés ganadero de Jujuy y Salta.	1
Cabrera, Emanuel S.	Contabilidad práctica :	1
Caplan, Benedicto	El presupuesto del sector público.	1
Cardenas, Eduardo	En camino a la democracia politica :	1
Garo, Francisco J	Sociedades anónimas.	1
Garo, Francisco J	Sociedades anónimas.	1
Carretero, Andrés M.	La santa federación :	1
Carretero, Andrés M.	Orden, paz, entrega :	1
Castro, Juan Pedro	Leyes impositivas actualizadas.	1
Castro, Juan Pedro	Leyes impositivas actualizadas :	1
Castro, Juan Pedro	Evolución del impuesto a los réditos :	3
Castro, Juan Pedro	Evolución del impuesto de los réditos :	3
Cena, Juan Carlos	Ensayos sobre monetización e inflación.	1
Coria, Luis Alberto	Evolución económica de Mendoza en la época colonial.	1
Cline, William R	Informática y desarrollo :	2
Dobb, Maurice	Salarios.	5
Nieto Blanc, Ernesto E	Curso de derecho civil.	2
Chianelli, Trinidad Delia	El gobierno de los pueblos :	1
Dagna, Conrado	Tablas financieras.	1
Delich, Francisco	Los problemas, objetivos y subjetivos de la consolidación de la democracia.	1
Diaz, Vicente Oscar	Impuesto de sellos :	2
Di Pasquale, Pascual D.	Computación para contadores y empresarios.	2
Dupuis, Michel	La consolidación de balances.	1
Feijoo, Eudaldo	Diagrama comprarativo :	1
Le Goff, Jacques	Mercaderes y banqueros de la edad media.	1
Fernandez Pol, Jorge Eduardo	Lecciones de programación no lineal.	2
Ferrari, Gustavo	Apogeo y crisis del liberalismo :	1
Ferrero, Roberto A.	Del fraude a la soberanía popular :	1
Fowler Newton, Enrique	Análisis de estados contables.	1
Fowler Newton, Enrique	Contabilidad básica.	20
Fowler Newton, Enrique	Contabilidad con inflación.	3
Fresco, Juan Carlos	El plan de cuentas como sistema integral.	9
Fassi, Santiago C	Concursos :	1
Galindez, Oscar A.	Verificación de créditos.	2
Bouilly, Víctor	El interregno de los lomonegros	1
Gasio, Guillermo H.	La conquista del progreso :	1
Gianneschi, Mario Atilio	Amortización de deudas y costos financieros.	2
Giuliani Fonrouge, Carlos M	Procedimiento tributario :	2
Giuliani Fonrouge, Carlos M	Derecho financiero.	3
González Gale, José	Elementos de cálculo actuarial.	2
Guglianone, Aquiles H	El descendiente desheredado.	2
Guido, Horacio J.M.	Secuelas del unicato :	1
Gunther, John	Rusia por dentro, hoy.	1
Giuliani Fonrouge, Carlos M	Derecho financiero.	2
Hermida, Jorge Alfredo	Ciencia de la administración.	20
Ferrer, Aldo	La economía de la Argentina :	3
Herrscher, Enrique G	Contabilidad gerencial :	5
Hortel, Carlos E.	Código Penal de la Nación Argentina :	1
Giuliani Fonrouge, Carlos M	Derecho financiero.	1
Iñigo Carrera, Héctor J.	La experiencia radical :	1
Iñigo Carrera, Héctor J.	La experiencia radical :	1
Irazusta, Julio	El tránsito del siglo XIX al XX :	1
Giuliani Fonrouge, Carlos M	Derecho financiero.	3
Kliksberg, Bernardo	Universidad, formación de administradores y sector público.	1
Lagomarsino, Carlos A. R	Divorcio por presentación conjunta :	1
Giuliani Fonrouge, Carlos M	Derecho financiero.	2
Lazzati, Santiago C.	El dictamen del auditor :	1
Lavia, Osvaldo N	Generalización del IVA :	1
Levy, Alberto R	Multievaluación de proyectos de nuevos productos.	1
Lojeweski, Werner Von	El mercado común europeo.	1
Lopez Rosas, José Rafael	Entre la monarquía y la república :	1
Lozada, Salvador María	Empresas multinacionales.	1
Lizondo Borda, Manuel	Guía ilustrativa de la casa histórica de la independencia argentina.	1
Maffia, Osvaldo J.	Derecho sucesorio en la reforma del Código Civil.	1
Mancini, Luis G.	Introducción filosófica a la economía.	1
Marin, Isidoro	Manual básico de métodos de camino crítico.	2
Marin, Isidoro	Manual básico de métodos de camino crítico.	2
Marin, Isidoro	Programación lineal :	6
Martiarena Mantel, Ana M	Economía internacional monetaria :	1
Martinez, Pedro Santos	La nueva Argentina :	11
Mascheroni, Fernando H	Sindicación de acciones.	2
Mascheroni, Fernando H	Nuevo régimen de control societario.	1
Mascheroni, Fernando H	La asamblea en la sociedad anónima :	2
Mascheroni, Fernando H	El directorio en la sociedad anónima.	2
Mascheroni, Fernando H	Ley de sociedades comerciales :	1
Mascheroni, Fernando H	Vínculo accionista, sociedad anónima y el contrato de suscripción.	2
Megna, Pedro Pascual	La gerencia de la sociedad anónima.	2
Mendez Costa, María J	Capacidad para aceptar y repudiar herencias.	1
Morgan, Edmundo	El nacimiento de la república 1763-1789.	1
Munier, Nolberto Juan	Preparación técnica, evaluación económica y presentación de proyectos.	2
Munier, Nolberto Juan	Programación lineal.	1
Munier, Nolberto Juan	Técnicas modernas para el planeamiento y control de la producción.	2
Odena, Isidro J.	Libertadores y desarrollistas :	1
Okretic, Carlos L	Estados contables consolidados.	6
Parra Aranguren, Fernando Ignacio	Antecedentes del derecho del trabajo en Venezuela (1916-1928)	1
Paez De La Torre, Carlos	El derrumbe de la confederación :	1
Picoli, Ángel M.	Elementos de contabilidad :	1
Picoli, Ángel M.	Elementos de contabilidad :	1
Pinedo, Federico	Siglo y medio de la economía argentina.	3
Pizoni, Mario C.	Necesidad de la conciliación obligatoria en el proceso civil.	1
Poclava Lafuente, Juan Carlos	Legislación administrativa actualizada año 1970.	2
Prado, Pedro F	Leyes y decretos de trabajo y previsión.	1
Prado, Pedro F	Leyes y decretos de trabajo y previsión.	1
Prat, Ana M.	Justicia de paz nacional y provincial.	1
Avila, Jorge C.	Propuestas para una Argentina creciente.	1
Rabinovich, Marcos	Impuesto a los réditos :	1
Raimondi, Carlos A	Legislación del trabajo.	2
Reyes, Rafael Hugo	Derechos individuales del socio.	1
Rivacoba y Rivacoba, Manuel De	Las ideas penales de Blasco Ibañez.	1
Rodriguez, Alfredo C.	Ley de entidades financieras N° 21526.	2
Rodríguez, Roberto Mario	Introducción a la contabilidad superior.	4
Rodríguez, Hugo Miguel	Análisis estadístico demográfico para las tomas de decisiones.	1
Rodriguez, Alfredo C.	El sistema financiero argentino :	4
Romero, Luis Alberto	La felíz experiencia :	1
Rosa, José María	Análisis histórico de la independencia argentina.	1
Roulet, Jorge Esteban	La incidencia del rol del estado en la administración pública.	2
Rube, Julio Horacio	Hacia Caseros :	1
Saenz, Jimena	Entre dos centenarios :	1
Saenz Quesada, María	La república dividida :	1
Salgado, Raúl C.	Una metodología para el análisis de sistemas.	5
Sánchez Ramos, Eusebio	Tabla de logaritmos, trigonométricos y de cálculo de intereses.	1
Sanguinetti, Horacio	La democracia ficta :	1
Saravi, Mario Guillermo	La suma del poder :	1
Scenna, Miguel Ángel	Las brevas maduras :	1
Segreti, Carlos S.A.	La aurora de la Independencia :	1
Segreti, Carlos S.A.	La aurora de la Independencia :	1
Semon, Juan M	"Nuevo derecho accionario y de ""Konzern"" de Alemania."	3
Senderovich, Isaac Aizik	Ajuste contable por inflación.	6
Seoane, José A.	Diagramación lógica :	1
Seoane, José A.	Sistemas informáticos.	14
Solana, Ricardo F	Teoría de la administración de organizaciones.	15
Sortheix, J.	Estadística.	1
Tinbergen, Jan	Política económica :	3
Vacarezza, Juan Carlos	Manual para la gestión profesional y empresaria :	2
Vázquez Iruzubieta, Carlos	Leyes penales.	1
Wainstein, Mario	Manual de ajuste por inflación de los estados contables.	2
Vedoya, Juan Carlos	La magra cosecha :	1
Wall, Alexander	Interpretación de balances.	3
Rojo, Armando O	Algebra.	1
	Anales de la X Convención Nacional de Consejos Profesionales de Ciencias Económicas.	3
Cuccorese, Horacio Juan	Argentina :	12
	Memoria anual.	1
	Energy form.	1
	Las Naciones Unidas al alcance de todos.	1
	El mercado del tabaco y la evolución de la economía tabacalera en la última década.	1
	Novenas Jornadas Nacionales de Docentes en Administración Financiera :	1
	Novenas Jornadas Nacionales de Docentes en Administración Financiera :	1
	Séptimas Jornadas Nacionales de Sistemas de Información.	1
	Primeras Jornadas Nacionales de la Pequeña y Mediana Empresa :	1
	Jornadas Universitarias de Contabilidad	1
	Caracterización y desarrollo regional bonaerense.	1
	Decimoterceras Jornadas Universitarias de Contabilidad.	5
	Código Civil de la República Argentina :	1
	Código de Comercio.	1
Michelson, Guillermo	Ley de fideicomisos.	2
Fortini, Hernando Luis	Replanteo de la técnica contable :	2
	Dictionnaire des mathématiques appliquées.	1
	Cuba 1959-1991 :	1
	Municipalismo y democracia :	2
	Municipalismo y democracia :	2
	La integración económica regional y los convenios binacionales.	1
Rosiello, Juan Carlos	Bonos :	6
	Medio siglo al servicio del país y de la profesión.	2
	La profesión y los graduados en Ciencias Económicas en la República Argentina.	2
	Dictámenes, recomendaciones e informes.	1
	Cultura y democracia.	3
	Educación y democracia.	4
	Aportes para la transformación del nivel medio.	3
	Gastos e ingresos públicos provinciales 1970-1985.	2
	Gastos e ingresos públicos provinciales 1970-1985.	2
	Encuentro regional del noroeste argentino sobre integración latinoamericana.	1
	Integración latinoamericana :	2
	La promoción de la inversión industrial en la Argentina.	1
	Informe sobre el desarrollo mundial 1978.	1
Ferrer, Aldo	La economía de la Argentina :	3
Fast, Howard	Los inmigrantes.	1
Nissen, Ricardo Augusto	Ley de Sociedades Comerciales :	3
Raimondi, Carlos A.	Legislación del trabajo.	2
Raimondi, Carlos A.	Enciclopedia de contabilidad y administración :	2
Ferrer, Aldo	La economía de la Argentina :	2
Martinez, Daniel	El I.V.A. generalizado.	1
	Diccionario Kapelusz.	1
Friedman, Georges	Tratado de sociología del trabajo.	11
Friedman, Georges	Tratado de sociología del trabajo.	11
Grupe, Héctor J. C	Economía del transporte y la energía.	10
Luparia, Carlos H	Régimen del trabajo rural :	3
Corte, Néstor T.	El nuevo sistema previsional :	2
Guarnaschelli, Juan Carlos	Ganancias :	2
Dominguez, Luis Martín	Costos por procesos y estándares.	17
	Sociedades Comerciales :	1
	Primer Congreso Tributario.	1
	Segundo Congreso Nacional de Informática y Teleinformática.	2
	Anuario 1992 :	1
Ocon, María Mercedes	La estrella del sur.	1
White, Max	En la luz deslumbrante :	1
	Premio Municipalidad de Córdoba 1982 :	1
Chapman, Hester W.	Eugenia de Montijo.	1
Dorfman, Miguel	Argentina un país para invertir y crecer.	2
Dorfman, Miguel	Argentina en crecimiento :	6
	Sistema ISO 9000 de gestión de la calidad :	1
	Congreso Nacional de Profesionales en Ciencias Económicas.	1
	Jornadas Universitarias de Contabilidad.	1
Fabris, Ricardo	Ejemplos de aplicación de las RT 8 y 9 :	2
	Colección de sociedades comerciales :	1
	Colección de sociedades comerciales :	1
	Colección de sociedades comerciales :	1
	Colección de sociedades comerciales :	1
Pienovi, Aroldo Adolfo	Metodología operativa para el análisis y determinación de estructuras de la organización :	4
Amadasi, Enrique	Mapa de la pobreza en la Argentina.	6
Loring Allen, Robert	La guerra económica soviética.	1
Sánchez Masi, Luis	El mercado de capitales en el Paraguay.	1
Leiserson, Sansón	La moneda.	1
Labougle, Alfredo	La actual situación económica y financiera de la Nación Argentina.	1
Buchanan, Norman S.	Introduccion al desarrollo económico.	1
Sutch, W.B.	Recent economic changes in New Zealand.	1
Bowles, Chester	Hacia una sociedad justa.	1
Villalobos Domínguez, C.	Bases y método para la aprobación social de la tierra.	1
Gambs, John S.	Hombre, dinero y bienes.	1
Dorfman, Adolfo	La economía de la región norpatagónica y perspectivas para su futuro desarrollo integral.	1
Dobb, Maurice	Introducción a la economía.	1
Rolfe, Sidney E.	Sistema monetario internacional :	1
Guitart, P. Ernesto	Nociones de economía social.	1
Lopez Gento, José	El hombre y la riqueza :	1
Ryan, William T	Principios de comercialización.	2
Hawtrey, R.G.	La restauración económica del mundo de la postguerra.	1
Rebeollo Paz, León	Control de los gastos públicos :	1
Antille, Armando G.	Cambios, monedas y bancos.	1
Mundell, Robert A.	El hombre y la economía.	1
Arnaud,Aldo A.	Mercado cambiario e inflación :	1
	Organización Monetaria de la Comunidad Económica Europea.	1
Monsen, R. Joseph	Introduction to business readings.	1
Rotman, Edgardo	Los fraudes al comercio y la industria.	1
Owes, Edgar	Reconsideración de la teoría del desarrollo.	1
Taussig, F.W.	Principios de economía.	1
Ritter, Lawrence S.	Money and economic activity :	1
Zeuthen, F	Teoria y método en economía.	1
Glasser, Ralph	Principios y fundamentos de marketing.	1
Marin, Isidoro	La programación lineal en el proceso de decisión.	1
Ferrater Mora, José	Diccionario de filosofía.	1
Chase, Stuart	El estudio de la humanidad.	1
Beirne, Joseph A.	Nuevos horizontes del trabajador norteamericano.	1
Rodwin, Lloyd	La metrópoli del futuro.	1
Pound, Roscoe	Evolución de la libertad.	1
Gonzalez Navarro, José	Democracia y sindicalismo.	1
Korner, Stephan	Introducción a la filosofía de la matemática.	1
Menne, Albert	Introducción a la lógica.	1
Penniman, Howard R.	El proceso político norteamericano.	1
Mannheim, Karl	Diagnóstico de nuestro tiempo.	1
Kassalow, Everett M.	Sindicatos e industrias.	1
Moreno, Alberto	Ejercicios de lógica.	1
Durant, Will	Filosofía, cultura y vida.	1
Decraene, Philippe	El panafricanismo.	1
