Titulo_libro	Autor	Subtitulo_libro	Cantidad ejemplares	Edicion	Año_publicacion	biblioitemnumber
Titulo_libro: Diccionario de ciencias jurídicas políticas y sociales.	Autor: Ossorio, Manuel	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 24ta.ed.	Año_publicacion: 1997.	biblioitemnumber: 1
Titulo_libro: Diccionario de economía : 	Autor: Seldon, Arthur	Subtitulo_libro: una exposición alfabética de conceptos económicos y su aplicación.	Cantidad ejemplares: 1	Edicion: 4ta.ed.	Año_publicacion: 1986.	biblioitemnumber: 2
Titulo_libro: Microeconomía.	Autor: Cosentini, Adela Josefina	Subtitulo_libro: sin datos	Cantidad ejemplares: 6	Edicion: 1ra.ed.	Año_publicacion: 2005.	biblioitemnumber: 3
Titulo_libro: Contabilidad financiera.	Autor: Biondi, Mario (H.)	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 2005.	biblioitemnumber: 4
Titulo_libro: Salarios y política económica.	Autor: Carciofi, Ricardo	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1986.	biblioitemnumber: 5
Titulo_libro: Biotecnología y economía política : 	Autor: Bercovich, Néstor	Subtitulo_libro: estudios del caso argentino.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1990.	biblioitemnumber: 6
Titulo_libro: El lugar de enunciación de la mujer política.	Autor: Tabera, Ariadna	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 2005.	biblioitemnumber: 7
Titulo_libro: Diccionario de contabilidad y auditoría.	Autor: Fowler Newton, Enrique	Subtitulo_libro: sin datos	Cantidad ejemplares: 3	Edicion: 1ra.ed.	Año_publicacion: 1994.	biblioitemnumber: 8
Titulo_libro: Sociedades anónimas.	Autor: Halperin, Isaac	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 1998.	biblioitemnumber: 9
Titulo_libro: Régimen de concursos y quiebras : 	Autor: Rouillon, Adolfo A. N	Subtitulo_libro: ley 24522.	Cantidad ejemplares: 1	Edicion: 14ta.ed.	Año_publicacion: 2005.	biblioitemnumber: 10
Titulo_libro: Régimen de sociedades comerciales : 	Autor: Zunino, Jorge Osvaldo	"Subtitulo_libro: ley 19550; texto ordenado 1984 según decreto 841/84."	Cantidad ejemplares: 1	Edicion: 20ma.ed.	Año_publicacion: 2005.	biblioitemnumber: 11
Titulo_libro: Práctica del derecho societario : 	Autor: Aramouni, Alberto	Subtitulo_libro: cláusulas contractuales y sus variantes con explicación doctrinal y jurisprudencial.	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 2004.	biblioitemnumber: 12
Titulo_libro: Práctica del derecho societario : 	Autor: Aramouni, Alberto	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 2004.	biblioitemnumber: 13
Titulo_libro: Verificación de créditos : 	Autor: Galindez, Oscar A.	Subtitulo_libro: procedimiento según la ley 24522.	Cantidad ejemplares: 1	Edicion: 3ra.ed.	Año_publicacion: 2001.	biblioitemnumber: 14
Titulo_libro: Títulos de crédito : 	Autor: Escuti, Ignacio A.	Subtitulo_libro: letra de cambio, pagaré y cheque.	Cantidad ejemplares: 1	Edicion: 8va.ed.	Año_publicacion: 2005.	biblioitemnumber: 15
Titulo_libro: Impuesto a las ganancias.	Autor: Diez, Gustavo E.	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 2004.	biblioitemnumber: 16
Titulo_libro: Curso de derecho societario.	Autor: Nissen, Ricardo Augusto	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 2005.	biblioitemnumber: 17
Titulo_libro: Extensión de quiebra.	Autor: Montesi, Víctor Luis	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 1997.	biblioitemnumber: 18
Titulo_libro: Curso de finanzas, derecho financiero y tributario.	Autor: Villegas, Héctor Belisario	Subtitulo_libro: sin datos	Cantidad ejemplares: 5	Edicion: 9na.ed.	Año_publicacion: 2005.	biblioitemnumber: 19
Titulo_libro: Derecho financiero.	Autor: Giuliani Fonrouge, Carlos M	Subtitulo_libro: sin datos	Cantidad ejemplares: 10	Edicion: 9na.ed.	Año_publicacion: 2005.	biblioitemnumber: 20
Titulo_libro: Derecho financiero.	Autor: Giuliani Fonrouge, Carlos M	Subtitulo_libro: sin datos	Cantidad ejemplares: 10	Edicion: 9na.ed.	Año_publicacion: 2005.	biblioitemnumber: 21
Titulo_libro: Tres ensayos sobre inflación y políticas de estabilización.	Autor: sin datos	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1986.	biblioitemnumber: 22
Titulo_libro: Régimen societario : 	Autor: Molina Sandoval, Carlos A	Subtitulo_libro: parte general.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 2004.	biblioitemnumber: 23
Titulo_libro: Régimen societario : 	Autor: Molina Sandoval, Carlos A	Subtitulo_libro: parte general.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 2004.	biblioitemnumber: 24
Titulo_libro: Administración y liquidación de sueldos y jornales : 	Autor: Orozco, Néstor R	Subtitulo_libro: aspectos laborales, previsionales e impositivos.	Cantidad ejemplares: 1	Edicion: 6ta.ed.	Año_publicacion: 2005.	biblioitemnumber: 25
