autor;titulo_libro;subtitulo_libro;cantidad_ejemplar;libro_edicion;año_publicacion;biblioitemnumber
"Ossorio, Manuel";"Diccionario de ciencias jurídicas políticas y sociales.";;1;24ta.ed.;1997.;1
"Seldon, Arthur";"Diccionario de economía : ";"una exposición alfabética de conceptos económicos y su aplicación.";1;4ta.ed.;1986.;2
"Cosentini, Adela Josefina";Microeconomía.;;6;1ra.ed.;2005.;3
"Biondi, Mario (H.)";"Contabilidad financiera.";;1;1ra.ed.;2005.;4
"Carciofi, Ricardo";"Salarios y política económica.";;1;1ra.ed.;1986.;5
"Bercovich, Néstor";"Biotecnología y economía política : ";"estudios del caso argentino.";1;1ra.ed.;1990.;6
"Tabera, Ariadna";"El lugar de enunciación de la mujer política.";;1;1ra.ed.;2005.;7
"Fowler Newton, Enrique";"Diccionario de contabilidad y auditoría.";;3;1ra.ed.;1994.;8
"Halperin, Isaac";"Sociedades anónimas.";;1;2da.ed.;1998.;9
"Rouillon, Adolfo A. N";"Régimen de concursos y quiebras : ";"ley 24522.";1;14ta.ed.;2005.;10
"Zunino, Jorge Osvaldo";"Régimen de sociedades comerciales : ";"ley 19550; texto ordenado 1984 según decreto 841/84.";1;20ma.ed.;2005.;11
"Aramouni, Alberto";"Práctica del derecho societario : ";"cláusulas contractuales y sus variantes con explicación doctrinal y jurisprudencial.";1;2da.ed.;2004.;12
"Aramouni, Alberto";"Práctica del derecho societario : ";;1;2da.ed.;2004.;13
"Galindez, Oscar A.";"Verificación de créditos : ";"procedimiento según la ley 24522.";1;3ra.ed.;2001.;14
"Escuti, Ignacio A.";"Títulos de crédito : ";"letra de cambio, pagaré y cheque.";1;8va.ed.;2005.;15
"Diez, Gustavo E.";"Impuesto a las ganancias.";;2;1ra.ed.;2004.;16
"Nissen, Ricardo Augusto";"Curso de derecho societario.";;1;1ra.ed.;2005.;17
"Montesi, Víctor Luis";"Extensión de quiebra.";;1;2da.ed.;1997.;18
"Villegas, Héctor Belisario";"Curso de finanzas, derecho financiero y tributario.";;5;9na.ed.;2005.;19
"Giuliani Fonrouge, Carlos M";"Derecho financiero.";;10;9na.ed.;2005.;20
"Giuliani Fonrouge, Carlos M";"Derecho financiero.";;10;9na.ed.;2005.;21
;"Tres ensayos sobre inflación y políticas de estabilización.";;1;1ra.ed.;1986.;22
"Molina Sandoval, Carlos A";"Régimen societario : ";"parte general.";1;1ra.ed.;2004.;23
"Molina Sandoval, Carlos A";"Régimen societario : ";"parte general.";1;1ra.ed.;2004.;24
"Orozco, Néstor R";"Administración y liquidación de sueldos y jornales : ";"aspectos laborales, previsionales e impositivos.";1;6ta.ed.;2005.;25
"Falcon, Enrique M.";"Manual de derecho procesal : ";"gráficos ilustrativos.";1;1ra.ed.;2005.;26
"Falcon, Enrique M.";"Manual de derecho procesal : ";"gráficos ilustrativos.";1;1ra.ed.;2000.;27
"Leguisamón, Héctor Eduardo";"Lecciones de derecho procesal civil.";;1;1ra.ed.;2001.;28
"Arazi, Roland";"Derecho procesal civil y comercial.";;1;2da.ed.;2004.;29
"Arazi, Roland";"Derecho procesal civil y comercial.";;1;2da.ed.;2004.;30
"Gozaini, Osvaldo A";"Elementos de derecho procesal civil.";;1;1ra.ed.;2005.;31
"Palacio, Lino Enrique";"Manual de derecho procesal civil.";;1;18va.ed.;2004.;32
"Grisolia, Julio Armando";"Manual de derecho laboral.";;2;2da.ed.;2005.;33
"Blake, Oscar Juan";"La capacitación : ";"un recurso dinamizador de las organizaciones.";1;5ta.ed.;2005.;34
"Senge, Peter M";"La quinta disciplina : ";"cómo impulsar el aprendizaje en la organización inteligente.";1;2da.ed.;2005.;35
"Kofman, Fredy";"Metamanagement : ";"la nueva con-ciencia de los negocios.";4;1ra.ed.;2005.;36
"Kofman, Fredy";"Metamanagement : ";"la nueva con-ciencia de los negocios.";4;1ra.ed.;2005.;37
"Kofman, Fredy";"Metamanagement : ";"la nueva conciencia de los negocios.";4;1ra.ed.;2005.;38
"Nieto, Oscar";"Práctica societaria 2005 : ";"civiles, comerciales de ahorro y préstamo.";1;1ra.ed.;2005.;39
"Grenabuena, Silvia R";"Liquidación de los impuestos a las ganancias, sobre los bienes personales y a la ganancia mínima presunta.";;1;3ra.ed.;2005.;40
"Puig, Xavier";"Comprender los mercados de futuros.";;1;3ra.ed.;2001.;41
"Brealey, Richard A.";"Fundamentos de finanzas corporativas.";;1;4ta.ed.;2004.;42
"Santesmases Mestre, Miguel";"Marketing : ";"conceptos y estrategias.";2;2da.ed.;2004.;43
"Alen Lascano, Luis C.";"La Argentina ilusionada : ";1922-1930.;1;1ra.ed.;1977.;44
"Anaya, Jaime L";"Sociedades accidentales o en participación.";;2;1ra.ed.;1970.;45
"Anda, Enrique";"Dependencias y estructura de clases en América Latina.";;1;1ra.ed.;1975.;46
;"ABC del exportador.";;1;1ra.ed.;1955.;47
"Houel, J.";"Tablas de logaritmos a cinco decimales.";;1;2da.ed.;1966.;48
"Miguel Y Merino, Pablo";"Curso de cálculo integral.";;2;1ra.ed.;1959.;49
