Titulo del libro;Autor;Subtitulo del libro;Ejemplares disponibles;Edicion;Año publicacion
Diccionario de ciencias jurídicas políticas y sociales.;Ossorio, Manuel;sin informacion;1;24ta.;1997
Diccionario de economía  ;Seldon, Arthur;una exposición alfabética de conceptos económicos y su aplicación.;1;4ta.;1986
Microeconomía.;Cosentini, Adela Josefina;sin informacion;6;1ra.;2005
Contabilidad financiera.;Biondi, Mario (H.);sin informacion;1;1ra.;2005
Salarios y política económica.;Carciofi, Ricardo;sin informacion;1;1ra.;1986
Biotecnología y economía política  ;Bercovich, Néstor;estudios del caso argentino.;1;1ra.;1990
El lugar de enunciación de la mujer política.;Tabera, Ariadna;sin informacion;1;1ra.;2005
Diccionario de contabilidad y auditoría.;Fowler Newton, Enrique;sin informacion;3;1ra.;1994
Sociedades anónimas.;Halperin, Isaac;sin informacion;1;2da.;1998
Régimen de concursos y quiebras  ;Rouillon, Adolfo A. N;ley 24522.;1;14ta.;2005
Régimen de sociedades comerciales  ;Zunino, Jorge Osvaldo;"ley 19550; texto ordenado 1984 según decreto 841/84.";1;20ma.;2005
Práctica del derecho societario  ;Aramouni, Alberto;cláusulas contractuales y sus variantes con explicación doctrinal y jurisprudencial.;1;2da.;2004
Práctica del derecho societario  ;Aramouni, Alberto;sin informacion;1;2da.;2004
Verificación de créditos  ;Galindez, Oscar A.;procedimiento según la ley 24522.;1;3ra.;2001
Títulos de crédito  ;Escuti, Ignacio A.;letra de cambio, pagaré y cheque.;1;8va.;2005
Impuesto a las ganancias.;Diez, Gustavo E.;sin informacion;2;1ra.;2004
Curso de derecho societario.;Nissen, Ricardo Augusto;sin informacion;1;1ra.;2005
Extensión de quiebra.;Montesi, Víctor Luis;sin informacion;1;2da.;1997
Curso de finanzas, derecho financiero y tributario.;Villegas, Héctor Belisario;sin informacion;5;9na.;2005
Derecho financiero.;Giuliani Fonrouge, Carlos M;sin informacion;10;9na.;2005
Derecho financiero.;Giuliani Fonrouge, Carlos M;sin informacion;10;9na.;2005
Tres ensayos sobre inflación y políticas de estabilización.;sin informacion;sin informacion;1;1ra.;1986
Régimen societario  ;Molina Sandoval, Carlos A;parte general.;1;1ra.;2004
Régimen societario  ;Molina Sandoval, Carlos A;parte general.;1;1ra.;2004
Administración y liquidación de sueldos y jornales  ;Orozco, Néstor R;aspectos laborales, previsionales e impositivos.;1;6ta.;2005
Manual de derecho procesal  ;Falcon, Enrique M.;gráficos ilustrativos.;1;1ra.;2005
Manual de derecho procesal  ;Falcon, Enrique M.;gráficos ilustrativos.;1;1ra.;2000
Lecciones de derecho procesal civil.;Leguisamón, Héctor Eduardo;sin informacion;1;1ra.;2001
Derecho procesal civil y comercial.;Arazi, Roland;sin informacion;1;2da.;2004
Derecho procesal civil y comercial.;Arazi, Roland;sin informacion;1;2da.;2004
Elementos de derecho procesal civil.;Gozaini, Osvaldo A;sin informacion;1;1ra.;2005
Manual de derecho procesal civil.;Palacio, Lino Enrique;sin informacion;1;18va.;2004
Manual de derecho laboral.;Grisolia, Julio Armando;sin informacion;2;2da.;2005
La capacitación  ;Blake, Oscar Juan;un recurso dinamizador de las organizaciones.;1;5ta.;2005
La quinta disciplina  ;Senge, Peter M;cómo impulsar el aprendizaje en la organización inteligente.;1;2da.;2005
Metamanagement  ;Kofman, Fredy;la nueva con-ciencia de los negocios.;4;1ra.;2005
Metamanagement  ;Kofman, Fredy;la nueva con-ciencia de los negocios.;4;1ra.;2005
Metamanagement  ;Kofman, Fredy;la nueva conciencia de los negocios.;4;1ra.;2005
Práctica societaria 2005  ;Nieto, Oscar;civiles, comerciales de ahorro y préstamo.;1;1ra.;2005
Liquidación de los impuestos a las ganancias, sobre los bienes personales y a la ganancia mínima presunta.;Grenabuena, Silvia R;sin informacion;1;3ra.;2005
Comprender los mercados de futuros.;Puig, Xavier;sin informacion;1;3ra.;2001
Fundamentos de finanzas corporativas.;Brealey, Richard A.;sin informacion;1;4ta.;2004
Marketing  ;Santesmases Mestre, Miguel;conceptos y estrategias.;2;2da.;2004
La Argentina ilusionada  ;Alen Lascano, Luis C.;1922-1930.;1;1ra.;1977
Sociedades accidentales o en participación.;Anaya, Jaime L;sin informacion;2;1ra.;1970
Dependencias y estructura de clases en América Latina.;Anda, Enrique;sin informacion;1;1ra.;1975
ABC del exportador.;sin informacion;sin informacion;1;1ra.;1955
Tablas de logaritmos a cinco decimales.;Houel, J.;sin informacion;1;2da.;1966
Curso de cálculo integral.;Miguel Y Merino, Pablo;sin informacion;2;1ra.;1959
Derecho del trabajo y previsión social  ;Antokoletz, Daniel;derecho argentino y comparado, con referencias especiales a las repúblicas americanas.;3;2da.;1953
Intifada en Palestina  ;Ayape Amigot, Fernando;despertar de un sueño.;2;1ra.;[sf]
La Liga de los Estados Arabes.;Ayape Amigot, Fernando;sin informacion;2;1ra.;[sf]
Derecho financiero.;Giuliani Fonrouge, Carlos M;sin informacion;1;2da.;1970
El presupuesto en la empresa  ;Bidart, Jorge Adolfo;metodología de un caso práctico.;16;1ra.;1981
Fundamentos de contabilidad.;Biondi, Mario;sin informacion;14;1ra.;1975
Manual de contabilidad  ;Biondi, Mario;técnicas de valuación.;5;2da. ;1976
Direcciones contemporáneas del pensamiento económico.;Borga, Ernesto E.;sin informacion;1;1ra.;1961
Direcciones contemporáneas del pensamiento económico.;Borga, Ernesto E.;sin informacion;1;1ra.;1961
Plantas de interés ganadero de Jujuy y Salta.;Braun Wilke, Rolando;sin informacion;1;1ra.;1991
Contabilidad práctica  ;Cabrera, Emanuel S.;nuevo plan de estudio año 1953 para primer año.;1;2da.;1954
El presupuesto del sector público.;Caplan, Benedicto;sin informacion;1;1ra.;1979
En camino a la democracia politica  ;Cardenas, Eduardo;1904-1910.;1;1ra.;1980
Sociedades anónimas.;Garo, Francisco J;sin informacion;1;1ra.;1954
Sociedades anónimas.;Garo, Francisco J;sin informacion;1;1ra.;1954
La santa federación  ;Carretero, Andrés M.;1840-1850.;1;1ra.;1979
Orden, paz, entrega  ;Carretero, Andrés M.;1880-1886.;1;1ra.;1977
